Brasil,América do Sul,1
Argentina,América do Sul,2
Alemanha,Europe,3
França,Europe,4
Espanha,Europe,5
Portugal,Europe,6
Itália,Europe,7
Holanda,Europe,8
Inglaterra,Europe,9
Uruguai,América do Sul,10
Bélgica,Europe,11
Chile,América do Sul,12
México,América do Norte,13
Suécia,Europe,14
Colômbia,América do Sul,15
Dinamarca,Europe,16
Suíça,Europe,17
Peru,América do Sul,18
Croácia,Europe,19
Senegal,África,20
Nigéria,África,21
Japão,Ásia,22
Coreia do Sul,Ásia,23
Austrália,Oceania,24
Estados Unidos,América do Norte,25
Gana,África,26
Costa do Marfim,África,27
Irã,Ásia,28
Argélia,África,29
Marrocos,África,30
Tunísia,África,31
Camarões,África,32
